STAGE 1 Parameters:
Fuel mass (kg): 5600
Dry mass (kg): 1200
Fuel fract: 0.8235294117647058
Isp @ SL: 226
Burn time (sec): 137.90398151982043
Thrust (N): 90030.294
dM/dt: 40.60796460176991

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
0.750,0.730,1.951,7269.544,90390.411,0.207,1.571,0.000,
0.760,0.750,1.977,7269.138,90390.411,0.213,1.571,0.000,
0.770,0.770,2.004,7268.732,90390.411,0.218,1.571,0.000,
0.780,0.790,2.030,7268.326,90390.411,0.224,1.571,0.000,
0.790,0.810,2.056,7267.920,90390.411,0.230,1.571,0.000,
0.800,0.831,2.083,7267.514,90390.411,0.236,1.571,0.000,
0.810,0.852,2.109,7267.108,90390.411,0.242,1.571,0.000,
0.820,0.873,2.135,7266.701,90390.410,0.249,1.571,0.000,
0.830,0.895,2.162,7266.295,90390.410,0.255,1.571,0.000,
0.840,0.917,2.188,7265.889,90390.410,0.261,1.571,0.000,
0.850,0.939,2.214,7265.483,90390.410,0.267,1.571,0.000,
0.860,0.961,2.241,7265.077,90390.410,0.274,1.571,0.000,
0.870,0.983,2.267,7264.671,90390.410,0.280,1.571,0.000,
0.880,1.006,2.293,7264.265,90390.410,0.287,1.571,0.000,
0.890,1.029,2.320,7263.859,90390.410,0.294,1.571,0.000,
0.900,1.053,2.346,7263.453,90390.409,0.301,1.571,0.000,
0.910,1.076,2.372,7263.047,90390.409,0.308,1.571,0.000,
0.920,1.100,2.399,7262.641,90390.409,0.314,1.571,0.000,
0.930,1.124,2.425,7262.235,90390.409,0.322,1.571,0.000,
0.940,1.148,2.452,7261.829,90390.409,0.329,1.571,0.000,
0.950,1.173,2.478,7261.422,90390.409,0.336,1.571,0.000,
0.960,1.198,2.504,7261.016,90390.409,0.343,1.571,0.000,
0.970,1.223,2.531,7260.610,90390.408,0.350,1.571,0.000,
0.980,1.249,2.557,7260.204,90390.408,0.358,1.571,0.000,
0.990,1.274,2.584,7259.798,90390.408,0.365,1.571,0.000,
1.000,1.300,2.610,7259.392,90390.408,0.373,1.571,0.000,
1.100,1.575,2.875,7255.331,90390.408,0.381,1.571,0.000,
1.200,1.875,3.141,7251.270,90390.406,0.462,1.571,0.000,
1.300,2.203,3.407,7247.210,90390.405,0.551,1.571,0.000,
1.400,2.557,3.674,7243.149,90390.403,0.648,1.571,0.000,
1.500,2.937,3.941,7239.088,90390.401,0.754,1.571,0.000,
1.600,3.345,4.210,7235.027,90390.399,0.868,1.571,0.000,
1.700,3.779,4.479,7230.966,90390.396,0.990,1.571,0.000,
1.800,4.241,4.748,7226.906,90390.394,1.120,1.571,0.000,
1.900,4.729,5.019,7222.845,90390.391,1.259,1.571,0.000,
2.000,5.244,5.290,7218.784,90390.389,1.407,1.571,0.000,
2.100,5.787,5.562,7214.723,90390.386,1.563,1.571,0.000,
2.200,6.357,5.834,7210.662,90390.383,1.727,1.571,0.000,
2.300,6.954,6.108,7206.602,90390.380,1.901,1.571,0.000,
2.400,7.578,6.381,7202.541,90390.376,2.083,1.571,0.000,
2.500,8.230,6.656,7198.480,90390.373,2.274,1.571,0.000,
2.600,8.910,6.931,7194.419,90390.369,2.473,1.571,0.000,
2.700,9.616,7.208,7190.358,90390.366,2.682,1.571,0.000,
