STAGE 1 Parameters:
Fuel mass (kg): 5554.134481501211
Dry mass (kg): 1200.0
Fuel fract: 0.8223310472590292
Isp @ SL: 224.03090054038694
Burn time (sec): 135.58281753145025
Thrust (N): 90030.294
dM/dt: 40.96488465592519

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
0.000,0.001,0.000,7254.134,0.000,0.000,1.571,0.000,
0.010,0.001,0.027,7253.725,90390.415,0.000,1.571,0.000,
0.020,0.002,0.053,7253.315,90390.415,0.000,1.571,0.000,
0.030,0.002,0.080,7252.906,90390.415,0.000,1.571,0.000,
0.040,0.003,0.106,7252.496,90390.415,0.000,1.571,0.000,
0.050,0.004,0.133,7252.086,90390.415,0.001,1.571,0.000,
0.060,0.006,0.159,7251.677,90390.415,0.001,1.571,0.000,
0.070,0.008,0.186,7251.267,90390.415,0.001,1.571,0.000,
0.080,0.009,0.213,7250.857,90390.415,0.002,1.571,0.000,
0.090,0.012,0.239,7250.448,90390.415,0.003,1.571,0.000,
0.100,0.014,0.266,7250.038,90390.415,0.003,1.571,0.000,
0.110,0.017,0.292,7249.628,90390.415,0.004,1.571,0.000,
0.120,0.020,0.319,7249.219,90390.415,0.005,1.571,0.000,
0.130,0.023,0.346,7248.809,90390.415,0.006,1.571,0.000,
0.140,0.027,0.372,7248.399,90390.415,0.007,1.571,0.000,
0.150,0.031,0.399,7247.990,90390.415,0.008,1.571,0.000,
0.160,0.035,0.426,7247.580,90390.415,0.009,1.571,0.000,
0.170,0.039,0.452,7247.170,90390.415,0.010,1.571,0.000,
0.180,0.044,0.479,7246.761,90390.415,0.011,1.571,0.000,
0.190,0.049,0.506,7246.351,90390.415,0.013,1.571,0.000,
0.200,0.054,0.532,7245.942,90390.415,0.014,1.571,0.000,
0.210,0.060,0.559,7245.532,90390.415,0.016,1.571,0.000,
0.220,0.065,0.586,7245.122,90390.415,0.017,1.571,0.000,
0.230,0.071,0.612,7244.713,90390.415,0.019,1.571,0.000,
0.240,0.078,0.639,7244.303,90390.415,0.021,1.571,0.000,
0.250,0.084,0.666,7243.893,90390.415,0.023,1.571,0.000,
0.260,0.091,0.692,7243.484,90390.415,0.025,1.571,0.000,
0.270,0.098,0.719,7243.074,90390.415,0.027,1.571,0.000,
0.280,0.105,0.746,7242.664,90390.415,0.029,1.571,0.000,
0.290,0.113,0.773,7242.255,90390.415,0.031,1.571,0.000,
0.300,0.121,0.799,7241.845,90390.415,0.033,1.571,0.000,
0.310,0.129,0.826,7241.435,90390.415,0.036,1.571,0.000,
0.320,0.137,0.853,7241.026,90390.414,0.038,1.571,0.000,
0.330,0.146,0.880,7240.616,90390.414,0.041,1.571,0.000,
0.340,0.155,0.906,7240.206,90390.414,0.043,1.571,0.000,
0.350,0.164,0.933,7239.797,90390.414,0.046,1.571,0.000,
0.360,0.174,0.960,7239.387,90390.414,0.049,1.571,0.000,
0.370,0.183,0.987,7238.977,90390.414,0.051,1.571,0.000,
0.380,0.193,1.014,7238.568,90390.414,0.054,1.571,0.000,
0.390,0.204,1.040,7238.158,90390.414,0.057,1.571,0.000,
0.400,0.214,1.067,7237.749,90390.414,0.060,1.571,0.000,
0.410,0.225,1.094,7237.339,90390.414,0.064,1.571,0.000,
0.420,0.236,1.121,7236.929,90390.414,0.067,1.571,0.000,
0.430,0.247,1.148,7236.520,90390.414,0.070,1.571,0.000,
0.440,0.259,1.175,7236.110,90390.414,0.074,1.571,0.000,
0.450,0.271,1.201,7235.700,90390.414,0.077,1.571,0.000,
0.460,0.283,1.228,7235.291,90390.414,0.081,1.571,0.000,
0.470,0.295,1.255,7234.881,90390.414,0.084,1.571,0.000,
0.480,0.308,1.282,7234.471,90390.414,0.088,1.571,0.000,
0.490,0.321,1.309,7234.062,90390.413,0.092,1.571,0.000,
0.500,0.334,1.336,7233.652,90390.413,0.096,1.571,0.000,
0.510,0.348,1.363,7233.242,90390.413,0.100,1.571,0.000,
0.520,0.361,1.390,7232.833,90390.413,0.104,1.571,0.000,
0.530,0.375,1.416,7232.423,90390.413,0.108,1.571,0.000,
0.540,0.390,1.443,7232.013,90390.413,0.112,1.571,0.000,
0.550,0.404,1.470,7231.604,90390.413,0.116,1.571,0.000,
0.560,0.419,1.497,7231.194,90390.413,0.121,1.571,0.000,
0.570,0.434,1.524,7230.784,90390.413,0.125,1.571,0.000,
0.580,0.450,1.551,7230.375,90390.413,0.130,1.571,0.000,
0.590,0.465,1.578,7229.965,90390.413,0.134,1.571,0.000,
0.600,0.481,1.605,7229.556,90390.413,0.139,1.571,0.000,
0.610,0.497,1.632,7229.146,90390.412,0.144,1.571,0.000,
0.620,0.514,1.659,7228.736,90390.412,0.149,1.571,0.000,
0.630,0.531,1.686,7228.327,90390.412,0.154,1.571,0.000,
0.640,0.548,1.713,7227.917,90390.412,0.159,1.571,0.000,
0.650,0.565,1.740,7227.507,90390.412,0.164,1.571,0.000,
0.660,0.582,1.767,7227.098,90390.412,0.169,1.571,0.000,
0.670,0.600,1.794,7226.688,90390.412,0.174,1.571,0.000,
0.680,0.618,1.821,7226.278,90390.412,0.180,1.571,0.000,
0.690,0.637,1.848,7225.869,90390.412,0.185,1.571,0.000,
0.700,0.655,1.875,7225.459,90390.412,0.191,1.571,0.000,
0.710,0.674,1.902,7225.049,90390.412,0.196,1.571,0.000,
0.720,0.693,1.929,7224.640,90390.411,0.202,1.571,0.000,
0.730,0.713,1.956,7224.230,90390.411,0.208,1.571,0.000,
0.740,0.732,1.983,7223.820,90390.411,0.214,1.571,0.000,
0.750,0.752,2.010,7223.411,90390.411,0.220,1.571,0.000,
0.760,0.773,2.037,7223.001,90390.411,0.226,1.571,0.000,
0.770,0.793,2.064,7222.592,90390.411,0.232,1.571,0.000,
0.780,0.814,2.092,7222.182,90390.411,0.238,1.571,0.000,
0.790,0.835,2.119,7221.772,90390.411,0.244,1.571,0.000,
0.800,0.856,2.146,7221.363,90390.411,0.251,1.571,0.000,
0.810,0.878,2.173,7220.953,90390.410,0.257,1.571,0.000,
0.820,0.900,2.200,7220.543,90390.410,0.264,1.571,0.000,
0.830,0.922,2.227,7220.134,90390.410,0.270,1.571,0.000,
0.840,0.944,2.254,7219.724,90390.410,0.277,1.571,0.000,
0.850,0.967,2.281,7219.314,90390.410,0.284,1.571,0.000,
0.860,0.990,2.308,7218.905,90390.410,0.291,1.571,0.000,
0.870,1.013,2.336,7218.495,90390.410,0.298,1.571,0.000,
0.880,1.037,2.363,7218.085,90390.410,0.305,1.571,0.000,
0.890,1.060,2.390,7217.676,90390.409,0.312,1.571,0.000,
0.900,1.084,2.417,7217.266,90390.409,0.319,1.571,0.000,
0.910,1.109,2.444,7216.856,90390.409,0.326,1.571,0.000,
0.920,1.133,2.471,7216.447,90390.409,0.334,1.571,0.000,
0.930,1.158,2.499,7216.037,90390.409,0.341,1.571,0.000,
0.940,1.183,2.526,7215.627,90390.409,0.349,1.571,0.000,
0.950,1.209,2.553,7215.218,90390.409,0.356,1.571,0.000,
0.960,1.234,2.580,7214.808,90390.408,0.364,1.571,0.000,
0.970,1.260,2.608,7214.399,90390.408,0.372,1.571,0.000,
0.980,1.286,2.635,7213.989,90390.408,0.380,1.571,0.000,
0.990,1.313,2.662,7213.579,90390.408,0.388,1.571,0.000,
1.000,1.340,2.689,7213.170,90390.408,0.396,1.571,0.000,
1.100,1.622,2.962,7209.073,90390.408,0.404,1.571,0.000,
1.200,1.932,3.236,7204.977,90390.406,0.490,1.571,0.000,
1.300,2.269,3.510,7200.880,90390.404,0.585,1.571,0.000,
1.400,2.634,3.785,7196.784,90390.402,0.688,1.571,0.000,
1.500,3.026,4.060,7192.687,90390.400,0.800,1.571,0.000,
1.600,3.446,4.337,7188.591,90390.398,0.921,1.571,0.000,
1.700,3.894,4.614,7184.494,90390.396,1.051,1.571,0.000,
1.800,4.369,4.892,7180.398,90390.393,1.189,1.571,0.000,
1.900,4.872,5.170,7176.301,90390.391,1.336,1.571,0.000,
2.000,5.403,5.450,7172.205,90390.388,1.493,1.571,0.000,
2.100,5.962,5.730,7168.108,90390.385,1.658,1.571,0.000,
2.200,6.549,6.010,7164.012,90390.382,1.833,1.571,0.000,
2.300,7.164,6.292,7159.915,90390.379,2.017,1.571,0.000,
2.400,7.807,6.574,7155.819,90390.375,2.210,1.571,0.000,
2.500,8.479,6.857,7151.722,90390.372,2.413,1.571,0.000,
2.600,9.179,7.140,7147.626,90390.368,2.624,1.571,0.000,
2.700,9.907,7.424,7143.529,90390.364,2.846,1.571,0.000,
2.800,10.663,7.709,7139.433,90390.360,3.077,1.571,0.000,
2.900,11.449,7.995,7135.336,90390.356,3.317,1.571,0.000,
3.000,12.262,8.282,7131.240,90390.351,3.567,1.571,0.000,
3.100,13.105,8.569,7127.143,90390.347,3.827,1.571,0.000,
3.200,13.976,8.857,7123.047,90390.342,4.097,1.571,0.000,
3.300,14.876,9.145,7118.950,90390.337,4.376,1.571,0.000,
3.400,15.805,9.435,7114.854,90390.332,4.665,1.571,0.000,
3.500,16.763,9.725,7110.757,90390.327,4.965,1.571,0.000,
3.600,17.750,10.016,7106.661,90390.322,5.274,1.571,0.000,
3.700,18.766,10.307,7102.564,90390.317,5.594,1.571,0.000,
3.800,19.812,10.599,7098.468,90390.311,5.923,1.571,0.000,
3.900,20.886,10.892,7094.371,90390.305,6.263,1.571,0.000,
4.000,21.990,11.186,7090.275,90390.299,6.613,1.571,0.000,
4.100,23.123,11.481,7086.178,90390.293,6.974,1.571,0.000,
4.200,24.286,11.776,7082.082,90390.287,7.345,1.571,0.000,
4.300,25.479,12.072,7077.985,90390.281,7.726,1.571,0.000,
4.400,26.701,12.368,7073.889,90390.274,8.119,1.571,0.000,
4.500,27.952,12.666,7069.793,90390.267,8.521,1.571,0.000,
4.600,29.234,12.964,7065.696,90390.260,8.935,1.571,0.000,
4.700,30.545,13.263,7061.600,90390.253,9.359,1.571,0.000,
4.800,31.886,13.562,7057.503,90390.246,9.794,1.571,0.000,
4.900,33.258,13.863,7053.407,90390.239,10.240,1.571,0.000,
5.000,34.659,14.164,7049.310,90390.232,10.696,1.571,0.000,
5.100,36.090,14.466,7045.214,90390.224,11.164,1.570,0.000,
5.200,37.552,14.768,7041.117,90390.216,11.643,1.570,0.001,
5.300,39.044,15.072,7037.021,90390.208,12.133,1.569,0.004,
5.400,40.566,15.376,7032.924,90390.200,12.634,1.568,0.007,
5.500,42.119,15.680,7028.828,90390.192,13.147,1.568,0.011,
5.600,43.702,15.986,7024.731,90390.183,13.671,1.567,0.017,
5.700,45.316,16.292,7020.635,90390.175,14.206,1.566,0.023,
5.800,46.961,16.599,7016.538,90390.166,14.753,1.566,0.031,
5.900,48.636,16.907,7012.442,90390.157,15.311,1.565,0.040,
6.000,50.342,17.215,7008.345,90390.148,15.881,1.565,0.050,
6.100,52.079,17.525,7004.249,90390.139,16.462,1.564,0.061,
6.200,53.847,17.835,7000.152,90390.130,17.056,1.563,0.074,
6.300,55.646,18.146,6996.056,90390.120,17.661,1.563,0.088,
6.400,57.476,18.457,6991.959,90390.111,18.278,1.562,0.103,
6.500,59.337,18.769,6987.863,90390.101,18.907,1.562,0.120,
6.600,61.230,19.082,6983.766,90390.091,19.547,1.561,0.138,
6.700,63.153,19.396,6979.670,90390.081,20.200,1.560,0.157,
6.800,65.109,19.711,6975.573,90390.071,20.865,1.560,0.179,
6.900,67.095,20.026,6971.477,90390.060,21.543,1.559,0.201,
7.000,69.114,20.342,6967.380,90390.050,22.232,1.558,0.226,
7.100,71.163,20.659,6963.284,90390.039,22.934,1.558,0.252,
7.200,73.245,20.976,6959.187,90390.028,23.648,1.557,0.279,
7.300,75.358,21.295,6955.091,90390.017,24.375,1.557,0.309,
7.400,77.504,21.614,6950.994,90390.006,25.114,1.556,0.340,
7.500,79.681,21.934,6946.898,90389.995,25.866,1.555,0.373,
7.600,81.890,22.254,6942.801,90389.983,26.630,1.555,0.408,
7.700,84.131,22.576,6938.705,90389.972,27.407,1.554,0.445,
7.800,86.404,22.898,6934.608,90389.960,28.197,1.553,0.484,
7.900,88.710,23.221,6930.512,90389.948,29.000,1.553,0.524,
8.000,91.048,23.545,6926.415,90389.936,29.815,1.552,0.567,
8.100,93.418,23.869,6922.319,90389.924,30.644,1.552,0.612,
8.200,95.821,24.194,6918.222,90389.911,31.485,1.551,0.659,
8.300,98.256,24.521,6914.126,90389.899,32.340,1.550,0.708,
8.400,100.724,24.847,6910.029,90389.886,33.208,1.550,0.759,
8.500,103.224,25.175,6905.933,90389.874,34.089,1.549,0.812,
8.600,105.758,25.503,6901.836,90389.861,34.984,1.548,0.868,
8.700,108.324,25.832,6897.740,90389.848,35.891,1.548,0.926,
8.800,110.923,26.162,6893.643,90389.835,36.812,1.547,0.987,
8.900,113.555,26.493,6889.547,90389.821,37.747,1.547,1.049,
9.000,116.220,26.825,6885.451,90389.808,38.695,1.546,1.115,
9.100,118.918,27.157,6881.354,90389.794,39.657,1.545,1.182,
9.200,121.649,27.490,6877.258,90389.781,40.633,1.545,1.253,
9.300,124.414,27.824,6873.161,90389.767,41.622,1.544,1.325,
9.400,127.212,28.158,6869.065,90389.753,42.625,1.544,1.401,
9.500,130.044,28.494,6864.968,90389.739,43.642,1.543,1.479,
9.600,132.909,28.830,6860.872,90389.724,44.673,1.542,1.560,
9.700,135.807,29.167,6856.775,90389.710,45.718,1.542,1.643,
9.800,138.740,29.505,6852.679,90389.695,46.776,1.541,1.729,
9.900,141.706,29.843,6848.582,90389.681,47.849,1.540,1.819,
10.000,144.705,30.183,6844.486,90389.666,48.937,1.540,1.911,
10.100,147.739,30.523,6840.389,90389.651,50.038,1.539,2.006,
10.200,150.807,30.864,6836.293,90389.636,51.154,1.539,2.103,
10.300,153.909,31.205,6832.196,90389.621,52.284,1.538,2.204,
10.400,157.045,31.548,6828.100,90389.605,53.428,1.537,2.308,
