STAGE 1 Parameters:
Fuel mass (kg): 5559.2755803978625
Dry mass (kg): 1200.0
Fuel fract: 0.8224661821038867
Isp @ SL: 224.63845626283333
Burn time (sec): 136.07634889186946
Thrust (N): 90030.294
dM/dt: 40.854091292642174

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
0.000,0.001,0.000,7259.276,0.000,0.000,1.571,0.000,
0.010,0.001,0.026,7258.867,90390.415,0.000,1.571,0.000,
0.020,0.002,0.053,7258.458,90390.415,0.000,1.571,0.000,
0.030,0.002,0.079,7258.050,90390.415,0.000,1.571,0.000,
0.040,0.003,0.106,7257.641,90390.415,0.000,1.571,0.000,
0.050,0.004,0.132,7257.233,90390.415,0.001,1.571,0.000,
0.060,0.006,0.159,7256.824,90390.415,0.001,1.571,0.000,
0.070,0.007,0.185,7256.416,90390.415,0.001,1.571,0.000,
0.080,0.009,0.212,7256.007,90390.415,0.002,1.571,0.000,
0.090,0.012,0.238,7255.599,90390.415,0.003,1.571,0.000,
0.100,0.014,0.265,7255.190,90390.415,0.003,1.571,0.000,
0.110,0.017,0.291,7254.782,90390.415,0.004,1.571,0.000,
0.120,0.020,0.318,7254.373,90390.415,0.005,1.571,0.000,
0.130,0.023,0.344,7253.965,90390.415,0.006,1.571,0.000,
0.140,0.027,0.371,7253.556,90390.415,0.007,1.571,0.000,
0.150,0.031,0.398,7253.147,90390.415,0.008,1.571,0.000,
0.160,0.035,0.424,7252.739,90390.415,0.009,1.571,0.000,
0.170,0.039,0.451,7252.330,90390.415,0.010,1.571,0.000,
0.180,0.044,0.477,7251.922,90390.415,0.011,1.571,0.000,
0.190,0.049,0.504,7251.513,90390.415,0.013,1.571,0.000,
0.200,0.054,0.530,7251.105,90390.415,0.014,1.571,0.000,
0.210,0.059,0.557,7250.696,90390.415,0.016,1.571,0.000,
0.220,0.065,0.584,7250.288,90390.415,0.017,1.571,0.000,
0.230,0.071,0.610,7249.879,90390.415,0.019,1.571,0.000,
