STAGE 1 Parameters:
Fuel mass (kg): 5605.2089910576815
Dry mass (kg): 1200.0
Fuel fract: 0.8236644897200294
Isp @ SL: 226.6814515241052
Burn time (sec): 138.44846145846543
Thrust (N): 90030.294
dM/dt: 40.485888626066426

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
0.000,0.001,0.000,7305.209,0.000,0.000,1.571,0.000,
0.010,0.001,0.026,7304.804,90390.415,0.000,1.571,0.000,
0.020,0.002,0.051,7304.399,90390.415,0.000,1.571,0.000,
0.030,0.002,0.077,7303.994,90390.415,0.000,1.571,0.000,
0.040,0.003,0.103,7303.590,90390.415,0.000,1.571,0.000,
0.050,0.004,0.128,7303.185,90390.415,0.001,1.571,0.000,
0.060,0.006,0.154,7302.780,90390.415,0.001,1.571,0.000,
0.070,0.007,0.180,7302.375,90390.415,0.001,1.571,0.000,
0.080,0.009,0.206,7301.970,90390.415,0.002,1.571,0.000,
0.090,0.011,0.231,7301.565,90390.415,0.002,1.571,0.000,
0.100,0.014,0.257,7301.160,90390.415,0.003,1.571,0.000,
0.110,0.017,0.283,7300.756,90390.415,0.004,1.571,0.000,
0.120,0.020,0.309,7300.351,90390.415,0.004,1.571,0.000,
0.130,0.023,0.334,7299.946,90390.415,0.005,1.571,0.000,
0.140,0.026,0.360,7299.541,90390.415,0.006,1.571,0.000,
0.150,0.030,0.386,7299.136,90390.415,0.007,1.571,0.000,
0.160,0.034,0.412,7298.731,90390.415,0.008,1.571,0.000,
0.170,0.038,0.437,7298.326,90390.415,0.009,1.571,0.000,
0.180,0.043,0.463,7297.922,90390.415,0.011,1.571,0.000,
0.190,0.047,0.489,7297.517,90390.415,0.012,1.571,0.000,
0.200,0.052,0.515,7297.112,90390.415,0.013,1.571,0.000,
0.210,0.058,0.541,7296.707,90390.415,0.015,1.571,0.000,
0.220,0.063,0.566,7296.302,90390.415,0.016,1.571,0.000,
0.230,0.069,0.592,7295.897,90390.415,0.018,1.571,0.000,
0.240,0.075,0.618,7295.492,90390.415,0.020,1.571,0.000,
0.250,0.081,0.644,7295.088,90390.415,0.021,1.571,0.000,
0.260,0.088,0.670,7294.683,90390.415,0.023,1.571,0.000,
0.270,0.095,0.696,7294.278,90390.415,0.025,1.571,0.000,
0.280,0.102,0.721,7293.873,90390.415,0.027,1.571,0.000,
0.290,0.109,0.747,7293.468,90390.415,0.029,1.571,0.000,
0.300,0.117,0.773,7293.063,90390.415,0.031,1.571,0.000,
0.310,0.125,0.799,7292.658,90390.415,0.033,1.571,0.000,
0.320,0.133,0.825,7292.254,90390.414,0.036,1.571,0.000,
0.330,0.141,0.851,7291.849,90390.414,0.038,1.571,0.000,
0.340,0.150,0.877,7291.444,90390.414,0.040,1.571,0.000,
0.350,0.159,0.903,7291.039,90390.414,0.043,1.571,0.000,
0.360,0.168,0.929,7290.634,90390.414,0.046,1.571,0.000,
0.370,0.177,0.954,7290.229,90390.414,0.048,1.571,0.000,
0.380,0.187,0.980,7289.824,90390.414,0.051,1.571,0.000,
0.390,0.197,1.006,7289.419,90390.414,0.054,1.571,0.000,
0.400,0.207,1.032,7289.015,90390.414,0.057,1.571,0.000,
0.410,0.218,1.058,7288.610,90390.414,0.060,1.571,0.000,
0.420,0.228,1.084,7288.205,90390.414,0.063,1.571,0.000,
0.430,0.239,1.110,7287.800,90390.414,0.066,1.571,0.000,
0.440,0.250,1.136,7287.395,90390.414,0.069,1.571,0.000,
0.450,0.262,1.162,7286.990,90390.414,0.072,1.571,0.000,
0.460,0.274,1.188,7286.585,90390.414,0.075,1.571,0.000,
0.470,0.286,1.214,7286.181,90390.414,0.079,1.571,0.000,
0.480,0.298,1.240,7285.776,90390.414,0.082,1.571,0.000,
0.490,0.310,1.266,7285.371,90390.414,0.086,1.571,0.000,
0.500,0.323,1.292,7284.966,90390.413,0.090,1.571,0.000,
0.510,0.336,1.318,7284.561,90390.413,0.093,1.571,0.000,
0.520,0.350,1.344,7284.156,90390.413,0.097,1.571,0.000,
0.530,0.363,1.370,7283.751,90390.413,0.101,1.571,0.000,
0.540,0.377,1.396,7283.347,90390.413,0.105,1.571,0.000,
0.550,0.391,1.422,7282.942,90390.413,0.109,1.571,0.000,
0.560,0.405,1.448,7282.537,90390.413,0.113,1.571,0.000,
0.570,0.420,1.474,7282.132,90390.413,0.117,1.571,0.000,
0.580,0.435,1.500,7281.727,90390.413,0.121,1.571,0.000,
0.590,0.450,1.526,7281.322,90390.413,0.126,1.571,0.000,
0.600,0.465,1.552,7280.917,90390.413,0.130,1.571,0.000,
0.610,0.481,1.579,7280.513,90390.413,0.135,1.571,0.000,
0.620,0.497,1.605,7280.108,90390.412,0.139,1.571,0.000,
0.630,0.513,1.631,7279.703,90390.412,0.144,1.571,0.000,
0.640,0.530,1.657,7279.298,90390.412,0.149,1.571,0.000,
0.650,0.546,1.683,7278.893,90390.412,0.153,1.571,0.000,
0.660,0.563,1.709,7278.488,90390.412,0.158,1.571,0.000,
0.670,0.581,1.735,7278.083,90390.412,0.163,1.571,0.000,
0.680,0.598,1.761,7277.679,90390.412,0.168,1.571,0.000,
0.690,0.616,1.787,7277.274,90390.412,0.173,1.571,0.000,
0.700,0.634,1.814,7276.869,90390.412,0.179,1.571,0.000,
0.710,0.652,1.840,7276.464,90390.412,0.184,1.571,0.000,
0.720,0.671,1.866,7276.059,90390.412,0.189,1.571,0.000,
0.730,0.689,1.892,7275.654,90390.411,0.195,1.571,0.000,
0.740,0.708,1.918,7275.249,90390.411,0.200,1.571,0.000,
0.750,0.728,1.944,7274.845,90390.411,0.206,1.571,0.000,
0.760,0.747,1.971,7274.440,90390.411,0.211,1.571,0.000,
0.770,0.767,1.997,7274.035,90390.411,0.217,1.571,0.000,
0.780,0.787,2.023,7273.630,90390.411,0.223,1.571,0.000,
0.790,0.808,2.049,7273.225,90390.411,0.229,1.571,0.000,
0.800,0.828,2.075,7272.820,90390.411,0.235,1.571,0.000,
0.810,0.849,2.102,7272.415,90390.411,0.241,1.571,0.000,
0.820,0.870,2.128,7272.011,90390.410,0.247,1.571,0.000,
0.830,0.892,2.154,7271.606,90390.410,0.253,1.571,0.000,
0.840,0.913,2.180,7271.201,90390.410,0.259,1.571,0.000,
0.850,0.935,2.207,7270.796,90390.410,0.266,1.571,0.000,
0.860,0.957,2.233,7270.391,90390.410,0.272,1.571,0.000,
0.870,0.980,2.259,7269.986,90390.410,0.279,1.571,0.000,
0.880,1.003,2.285,7269.581,90390.410,0.285,1.571,0.000,
0.890,1.026,2.312,7269.177,90390.410,0.292,1.571,0.000,
0.900,1.049,2.338,7268.772,90390.409,0.299,1.571,0.000,
0.910,1.072,2.364,7268.367,90390.409,0.305,1.571,0.000,
0.920,1.096,2.391,7267.962,90390.409,0.312,1.571,0.000,
0.930,1.120,2.417,7267.557,90390.409,0.319,1.571,0.000,
0.940,1.145,2.443,7267.152,90390.409,0.326,1.571,0.000,
0.950,1.169,2.470,7266.747,90390.409,0.334,1.571,0.000,
0.960,1.194,2.496,7266.343,90390.409,0.341,1.571,0.000,
0.970,1.219,2.522,7265.938,90390.408,0.348,1.571,0.000,
0.980,1.244,2.549,7265.533,90390.408,0.355,1.571,0.000,
0.990,1.270,2.575,7265.128,90390.408,0.363,1.571,0.000,
1.000,1.296,2.601,7264.723,90390.408,0.370,1.571,0.000,
1.100,1.569,2.865,7260.675,90390.408,0.378,1.571,0.000,
1.200,1.869,3.130,7256.626,90390.406,0.459,1.571,0.000,
1.300,2.195,3.395,7252.577,90390.405,0.547,1.571,0.000,
1.400,2.548,3.661,7248.529,90390.403,0.644,1.571,0.000,
1.500,2.927,3.928,7244.480,90390.401,0.749,1.571,0.000,
1.600,3.333,4.195,7240.432,90390.399,0.862,1.571,0.000,
1.700,3.766,4.463,7236.383,90390.397,0.983,1.571,0.000,
1.800,4.226,4.732,7232.334,90390.394,1.113,1.571,0.000,
1.900,4.713,5.002,7228.286,90390.392,1.251,1.571,0.000,
2.000,5.226,5.272,7224.237,90390.389,1.397,1.571,0.000,
2.100,5.767,5.543,7220.189,90390.386,1.552,1.571,0.000,
2.200,6.335,5.814,7216.140,90390.383,1.715,1.571,0.000,
2.300,6.930,6.086,7212.091,90390.380,1.888,1.571,0.000,
2.400,7.552,6.359,7208.043,90390.377,2.068,1.571,0.000,
2.500,8.202,6.633,7203.994,90390.373,2.258,1.571,0.000,
2.600,8.879,6.907,7199.946,90390.369,2.456,1.571,0.000,
2.700,9.583,7.183,7195.897,90390.366,2.663,1.571,0.000,
2.800,10.315,7.458,7191.849,90390.362,2.880,1.571,0.000,
2.900,11.075,7.735,7187.800,90390.358,3.105,1.571,0.000,
3.000,11.862,8.012,7183.751,90390.353,3.339,1.571,0.000,
3.100,12.677,8.290,7179.703,90390.349,3.582,1.571,0.000,
3.200,13.520,8.569,7175.654,90390.345,3.834,1.571,0.000,
3.300,14.391,8.848,7171.606,90390.340,4.096,1.571,0.000,
3.400,15.290,9.128,7167.557,90390.335,4.367,1.571,0.000,
3.500,16.217,9.409,7163.508,90390.330,4.647,1.571,0.000,
3.600,17.172,9.690,7159.460,90390.325,4.937,1.571,0.000,
3.700,18.155,9.972,7155.411,90390.320,5.236,1.571,0.000,
3.800,19.166,10.255,7151.363,90390.314,5.545,1.571,0.000,
3.900,20.206,10.539,7147.314,90390.309,5.863,1.571,0.000,
4.000,21.274,10.823,7143.265,90390.303,6.191,1.571,0.000,
4.100,22.370,11.108,7139.217,90390.297,6.529,1.571,0.000,
4.200,23.495,11.394,7135.168,90390.291,6.877,1.571,0.000,
4.300,24.649,11.680,7131.120,90390.285,7.234,1.571,0.000,
4.400,25.831,11.967,7127.071,90390.279,7.601,1.571,0.000,
4.500,27.043,12.255,7123.022,90390.272,7.978,1.571,0.000,
4.600,28.283,12.544,7118.974,90390.265,8.366,1.571,0.000,
4.700,29.551,12.833,7114.925,90390.259,8.763,1.571,0.000,
4.800,30.849,13.123,7110.877,90390.252,9.170,1.571,0.000,
4.900,32.176,13.414,7106.828,90390.245,9.588,1.571,0.000,
5.000,33.532,13.705,7102.780,90390.237,10.016,1.571,0.000,
5.100,34.917,13.997,7098.731,90390.230,10.454,1.570,0.000,
5.200,36.331,14.290,7094.682,90390.222,10.903,1.570,0.001,
5.300,37.775,14.584,7090.634,90390.215,11.362,1.569,0.003,
5.400,39.248,14.878,7086.585,90390.207,11.832,1.568,0.007,
5.500,40.751,15.173,7082.537,90390.199,12.312,1.568,0.011,
5.600,42.283,15.469,7078.488,90390.191,12.803,1.567,0.016,
5.700,43.845,15.766,7074.439,90390.183,13.305,1.567,0.022,
5.800,45.436,16.063,7070.391,90390.174,13.817,1.566,0.029,
5.900,47.057,16.361,7066.342,90390.165,14.340,1.565,0.038,
6.000,48.708,16.660,7062.294,90390.157,14.874,1.565,0.047,
6.100,50.389,16.959,7058.245,90390.148,15.419,1.564,0.058,
