STAGE 1 Parameters:
Fuel mass (kg): 5575.281606462051
Dry mass (kg): 1200.0
Fuel fract: 0.8228855906364869
Isp @ SL: 225.72717437587033
Burn time (sec): 137.12953160769305
Thrust (N): 90030.294
dM/dt: 40.657045503605254

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
0.000,0.001,0.000,7275.282,0.000,0.000,1.571,0.000,
0.010,0.001,0.026,7274.875,90390.415,0.000,1.571,0.000,
0.020,0.002,0.052,7274.468,90390.415,0.000,1.571,0.000,
0.030,0.002,0.079,7274.062,90390.415,0.000,1.571,0.000,
0.040,0.003,0.105,7273.655,90390.415,0.000,1.571,0.000,
0.050,0.004,0.131,7273.249,90390.415,0.001,1.571,0.000,
0.060,0.006,0.157,7272.842,90390.415,0.001,1.571,0.000,
0.070,0.007,0.183,7272.436,90390.415,0.001,1.571,0.000,
0.080,0.009,0.210,7272.029,90390.415,0.002,1.571,0.000,
0.090,0.012,0.236,7271.622,90390.415,0.002,1.571,0.000,
0.100,0.014,0.262,7271.216,90390.415,0.003,1.571,0.000,
0.110,0.017,0.288,7270.809,90390.415,0.004,1.571,0.000,
0.120,0.020,0.315,7270.403,90390.415,0.005,1.571,0.000,
0.130,0.023,0.341,7269.996,90390.415,0.006,1.571,0.000,
0.140,0.027,0.367,7269.590,90390.415,0.006,1.571,0.000,
0.150,0.030,0.393,7269.183,90390.415,0.008,1.571,0.000,
0.160,0.035,0.420,7268.776,90390.415,0.009,1.571,0.000,
0.170,0.039,0.446,7268.370,90390.415,0.010,1.571,0.000,
0.180,0.043,0.472,7267.963,90390.415,0.011,1.571,0.000,
0.190,0.048,0.499,7267.557,90390.415,0.012,1.571,0.000,
0.200,0.053,0.525,7267.150,90390.415,0.014,1.571,0.000,
0.210,0.059,0.551,7266.744,90390.415,0.015,1.571,0.000,
0.220,0.064,0.578,7266.337,90390.415,0.017,1.571,0.000,
0.230,0.070,0.604,7265.930,90390.415,0.019,1.571,0.000,
0.240,0.077,0.630,7265.524,90390.415,0.020,1.571,0.000,
0.250,0.083,0.657,7265.117,90390.415,0.022,1.571,0.000,
0.260,0.090,0.683,7264.711,90390.415,0.024,1.571,0.000,
0.270,0.097,0.709,7264.304,90390.415,0.026,1.571,0.000,
0.280,0.104,0.736,7263.898,90390.415,0.028,1.571,0.000,
0.290,0.111,0.762,7263.491,90390.415,0.030,1.571,0.000,
0.300,0.119,0.788,7263.084,90390.415,0.032,1.571,0.000,
0.310,0.127,0.815,7262.678,90390.415,0.035,1.571,0.000,
0.320,0.135,0.841,7262.271,90390.414,0.037,1.571,0.000,
0.330,0.144,0.868,7261.865,90390.414,0.040,1.571,0.000,
0.340,0.153,0.894,7261.458,90390.414,0.042,1.571,0.000,
0.350,0.162,0.920,7261.052,90390.414,0.045,1.571,0.000,
0.360,0.171,0.947,7260.645,90390.414,0.047,1.571,0.000,
0.370,0.181,0.973,7260.238,90390.414,0.050,1.571,0.000,
0.380,0.191,1.000,7259.832,90390.414,0.053,1.571,0.000,
0.390,0.201,1.026,7259.425,90390.414,0.056,1.571,0.000,
0.400,0.211,1.053,7259.019,90390.414,0.059,1.571,0.000,
0.410,0.222,1.079,7258.612,90390.414,0.062,1.571,0.000,
0.420,0.233,1.106,7258.206,90390.414,0.065,1.571,0.000,
0.430,0.244,1.132,7257.799,90390.414,0.068,1.571,0.000,
0.440,0.255,1.159,7257.393,90390.414,0.072,1.571,0.000,
0.450,0.267,1.185,7256.986,90390.414,0.075,1.571,0.000,
0.460,0.279,1.212,7256.579,90390.414,0.078,1.571,0.000,
0.470,0.291,1.238,7256.173,90390.414,0.082,1.571,0.000,
0.480,0.304,1.265,7255.766,90390.414,0.086,1.571,0.000,
0.490,0.317,1.291,7255.360,90390.413,0.089,1.571,0.000,
0.500,0.330,1.318,7254.953,90390.413,0.093,1.571,0.000,
0.510,0.343,1.344,7254.547,90390.413,0.097,1.571,0.000,
0.520,0.357,1.371,7254.140,90390.413,0.101,1.571,0.000,
0.530,0.370,1.397,7253.733,90390.413,0.105,1.571,0.000,
0.540,0.384,1.424,7253.327,90390.413,0.109,1.571,0.000,
0.550,0.399,1.450,7252.920,90390.413,0.113,1.571,0.000,
0.560,0.413,1.477,7252.514,90390.413,0.118,1.571,0.000,
0.570,0.428,1.503,7252.107,90390.413,0.122,1.571,0.000,
0.580,0.444,1.530,7251.701,90390.413,0.126,1.571,0.000,
0.590,0.459,1.557,7251.294,90390.413,0.131,1.571,0.000,
0.600,0.475,1.583,7250.887,90390.413,0.135,1.571,0.000,
0.610,0.491,1.610,7250.481,90390.413,0.140,1.571,0.000,
0.620,0.507,1.636,7250.074,90390.412,0.145,1.571,0.000,
0.630,0.523,1.663,7249.668,90390.412,0.150,1.571,0.000,
0.640,0.540,1.690,7249.261,90390.412,0.155,1.571,0.000,
0.650,0.557,1.716,7248.855,90390.412,0.160,1.571,0.000,
0.660,0.574,1.743,7248.448,90390.412,0.165,1.571,0.000,
0.670,0.592,1.769,7248.041,90390.412,0.170,1.571,0.000,
0.680,0.610,1.796,7247.635,90390.412,0.175,1.571,0.000,
0.690,0.628,1.823,7247.228,90390.412,0.180,1.571,0.000,
0.700,0.646,1.849,7246.822,90390.412,0.186,1.571,0.000,
0.710,0.665,1.876,7246.415,90390.412,0.191,1.571,0.000,
0.720,0.684,1.903,7246.009,90390.411,0.197,1.571,0.000,
0.730,0.703,1.929,7245.602,90390.411,0.202,1.571,0.000,
0.740,0.722,1.956,7245.195,90390.411,0.208,1.571,0.000,
0.750,0.742,1.983,7244.789,90390.411,0.214,1.571,0.000,
0.760,0.762,2.010,7244.382,90390.411,0.220,1.571,0.000,
0.770,0.782,2.036,7243.976,90390.411,0.226,1.571,0.000,
0.780,0.803,2.063,7243.569,90390.411,0.232,1.571,0.000,
0.790,0.824,2.090,7243.163,90390.411,0.238,1.571,0.000,
0.800,0.845,2.116,7242.756,90390.411,0.244,1.571,0.000,
0.810,0.866,2.143,7242.349,90390.410,0.250,1.571,0.000,
0.820,0.887,2.170,7241.943,90390.410,0.257,1.571,0.000,
0.830,0.909,2.197,7241.536,90390.410,0.263,1.571,0.000,
0.840,0.931,2.223,7241.130,90390.410,0.270,1.571,0.000,
0.850,0.954,2.250,7240.723,90390.410,0.276,1.571,0.000,
0.860,0.976,2.277,7240.317,90390.410,0.283,1.571,0.000,
0.870,0.999,2.304,7239.910,90390.410,0.290,1.571,0.000,
0.880,1.022,2.331,7239.503,90390.410,0.297,1.571,0.000,
0.890,1.046,2.357,7239.097,90390.409,0.303,1.571,0.000,
0.900,1.070,2.384,7238.690,90390.409,0.310,1.571,0.000,
0.910,1.094,2.411,7238.284,90390.409,0.318,1.571,0.000,
0.920,1.118,2.438,7237.877,90390.409,0.325,1.571,0.000,
0.930,1.142,2.465,7237.471,90390.409,0.332,1.571,0.000,
0.940,1.167,2.491,7237.064,90390.409,0.339,1.571,0.000,
0.950,1.192,2.518,7236.657,90390.409,0.347,1.571,0.000,
0.960,1.218,2.545,7236.251,90390.409,0.354,1.571,0.000,
0.970,1.243,2.572,7235.844,90390.408,0.362,1.571,0.000,
0.980,1.269,2.599,7235.438,90390.408,0.370,1.571,0.000,
0.990,1.295,2.626,7235.031,90390.408,0.377,1.571,0.000,
1.000,1.321,2.653,7234.625,90390.408,0.385,1.571,0.000,
1.100,1.600,2.922,7230.559,90390.408,0.393,1.571,0.000,
1.200,1.906,3.191,7226.493,90390.406,0.477,1.571,0.000,
1.300,2.238,3.462,7222.427,90390.405,0.569,1.571,0.000,
1.400,2.598,3.733,7218.362,90390.403,0.670,1.571,0.000,
1.500,2.985,4.005,7214.296,90390.401,0.779,1.571,0.000,
1.600,3.399,4.278,7210.230,90390.398,0.896,1.571,0.000,
1.700,3.841,4.551,7206.165,90390.396,1.022,1.571,0.000,
1.800,4.309,4.825,7202.099,90390.394,1.157,1.571,0.000,
1.900,4.806,5.100,7198.033,90390.391,1.300,1.571,0.000,
2.000,5.329,5.375,7193.968,90390.388,1.452,1.571,0.000,
2.100,5.881,5.651,7189.902,90390.385,1.614,1.571,0.000,
2.200,6.460,5.928,7185.836,90390.382,1.783,1.571,0.000,
2.300,7.066,6.206,7181.770,90390.379,1.962,1.571,0.000,
2.400,7.701,6.484,7177.705,90390.376,2.150,1.571,0.000,
2.500,8.363,6.763,7173.639,90390.372,2.347,1.571,0.000,
2.600,9.053,7.043,7169.573,90390.369,2.553,1.571,0.000,
2.700,9.772,7.323,7165.508,90390.365,2.769,1.571,0.000,
2.800,10.518,7.604,7161.442,90390.361,2.993,1.571,0.000,
2.900,11.293,7.886,7157.376,90390.357,3.227,1.571,0.000,
3.000,12.095,8.169,7153.310,90390.352,3.471,1.571,0.000,
3.100,12.926,8.452,7149.245,90390.348,3.723,1.571,0.000,
3.200,13.786,8.736,7145.179,90390.343,3.986,1.571,0.000,
3.300,14.673,9.021,7141.113,90390.338,4.258,1.571,0.000,
3.400,15.590,9.306,7137.048,90390.334,4.539,1.571,0.000,
3.500,16.535,9.592,7132.982,90390.328,4.830,1.571,0.000,
3.600,17.508,9.879,7128.916,90390.323,5.131,1.571,0.000,
3.700,18.510,10.167,7124.851,90390.318,5.442,1.571,0.000,
3.800,19.542,10.455,7120.785,90390.312,5.763,1.571,0.000,
3.900,20.601,10.744,7116.719,90390.307,6.094,1.571,0.000,
4.000,21.690,11.034,7112.653,90390.301,6.434,1.571,0.000,
4.100,22.808,11.324,7108.588,90390.295,6.785,1.571,0.000,
4.200,23.955,11.615,7104.522,90390.289,7.146,1.571,0.000,
4.300,25.131,11.907,7100.456,90390.282,7.518,1.571,0.000,
4.400,26.337,12.200,7096.391,90390.276,7.899,1.571,0.000,
4.500,27.571,12.493,7092.325,90390.269,8.291,1.571,0.000,
4.600,28.835,12.787,7088.259,90390.263,8.693,1.571,0.000,
4.700,30.129,13.082,7084.193,90390.256,9.106,1.571,0.000,
4.800,31.452,13.378,7080.128,90390.249,9.529,1.571,0.000,
4.900,32.804,13.674,7076.062,90390.241,9.963,1.571,0.000,
5.000,34.186,13.971,7071.996,90390.234,10.407,1.571,0.000,
5.100,35.598,14.268,7067.931,90390.226,10.862,1.570,0.000,
5.200,37.040,14.567,7063.865,90390.219,11.328,1.570,0.001,
5.300,38.512,14.866,7059.799,90390.211,11.805,1.569,0.004,
5.400,40.013,15.166,7055.734,90390.203,12.293,1.568,0.007,
5.500,41.545,15.467,7051.668,90390.195,12.792,1.568,0.011,
5.600,43.106,15.768,7047.602,90390.187,13.301,1.567,0.016,
5.700,44.698,16.070,7043.536,90390.178,13.822,1.567,0.023,
5.800,46.320,16.373,7039.471,90390.169,14.354,1.566,0.030,
5.900,47.973,16.676,7035.405,90390.161,14.898,1.565,0.039,
6.000,49.656,16.981,7031.339,90390.152,15.452,1.565,0.048,
6.100,51.369,17.286,7027.274,90390.143,16.018,1.564,0.059,
6.200,53.113,17.592,7023.208,90390.134,16.595,1.563,0.072,
6.300,54.887,17.898,7019.142,90390.124,17.184,1.563,0.085,
6.400,56.692,18.205,7015.077,90390.115,17.784,1.562,0.100,
6.500,58.528,18.513,7011.011,90390.105,18.396,1.562,0.117,
6.600,60.395,18.822,7006.945,90390.095,19.020,1.561,0.134,
6.700,62.292,19.132,7002.879,90390.085,19.655,1.560,0.153,
6.800,64.221,19.442,6998.814,90390.075,20.302,1.560,0.174,
6.900,66.181,19.753,6994.748,90390.065,20.961,1.559,0.196,
7.000,68.171,20.065,6990.682,90390.054,21.632,1.559,0.220,
7.100,70.193,20.377,6986.617,90390.044,22.315,1.558,0.245,
7.200,72.246,20.690,6982.551,90390.033,23.010,1.557,0.272,
7.300,74.331,21.004,6978.485,90390.022,23.717,1.557,0.301,
7.400,76.447,21.319,6974.419,90390.011,24.437,1.556,0.332,
